match_id, player_slot, account_id, hero_id, kills, deaths, assists, gold_per_min, xp_per_min, last_hits, denies, hero_damage, tower_damage, hero_healing, level, net_worth, item_0, item_1, item_2, item_3, item_4, item_5, backpack_0, backpack_1, backpack_2, team
8565550009,0,,48,5,3,4,505,464,55,8,6783,2058,0,10,7297,63,60,34,11,172,23,0,0,0,radiant
8565550009,1,,7,0,0,1,426,424,73,9,1470,645,0,10,6155,1,77,11,180,44,0,0,0,0,radiant
8565550009,2,191874373,136,8,5,1,559,606,60,8,10145,1871,0,12,8077,149,11,73,50,265,36,41,0,0,radiant
8565550009,3,,95,1,2,2,436,420,88,2,2687,1866,0,10,6300,36,11,143,0,26,63,0,0,0,radiant
8565550009,4,,40,1,3,2,195,159,6,3,1961,0,0,5,2817,0,0,0,0,0,0,0,0,0,radiant
8565550009,128,1018386389,8,3,3,1,930,420,87,8,5219,0,2,10,13438,36,147,145,63,0,244,0,0,0,dire
8565550009,129,,83,0,1,2,136,104,6,4,1144,0,267,4,1965,0,0,0,0,0,0,0,0,0,dire
8565550009,130,,101,3,5,1,235,211,21,0,6477,0,0,6,3395,0,0,0,0,0,0,0,0,0,dire
8565550009,131,,26,0,4,1,125,83,3,0,806,0,0,4,1806,0,0,0,0,0,0,0,0,0,dire
8565550009,132,,14,5,3,1,473,465,30,4,6192,0,0,10,6834,36,16,50,0,0,73,0,0,0,dire
8565544017,0,1144793159,31,4,1,3,359,343,12,1,5150,1475,0,9,5899,0,1,34,0,0,214,0,0,0,radiant
8565544017,1,1034253731,64,3,1,6,366,255,8,2,2923,2757,0,8,6014,180,0,232,0,0,36,0,0,0,radiant
8565544017,2,842955702,38,2,3,5,582,372,96,6,3884,18771,0,10,9564,36,635,185,86,88,2,0,0,0,radiant
8565544017,3,6835508,39,4,4,5,496,361,58,8,8699,5059,0,10,8150,223,0,77,63,36,41,0,0,0,radiant
8565544017,4,901366414,41,1,2,4,432,323,58,10,2771,3116,0,9,7099,11,164,34,8,240,63,43,0,16,radiant
8565544017,128,110442531,74,3,2,4,303,366,51,5,4556,0,0,10,4979,0,206,0,36,29,77,0,0,0,dire
8565544017,129,120600423,22,5,3,2,348,330,68,3,11646,0,0,9,5718,0,259,180,41,16,34,0,0,0,dire
8565544017,130,192274057,44,1,2,0,310,348,91,3,1868,0,0,9,5094,11,20,63,0,36,1125,0,0,0,dire
8565544017,131,1259239427,59,2,3,0,430,411,121,15,3367,115,0,10,7066,50,36,65,16,16,151,0,0,16,dire
8565544017,132,1074204874,87,0,5,4,217,220,23,1,4241,218,0,7,3566,36,0,88,0,218,0,0,0,0,dire
8565541219,0,307283415,17,5,3,3,495,550,122,6,7450,0,0,14,9825,63,41,178,36,259,534,0,0,0,radiant
8565541219,1,416495258,64,1,8,2,174,234,11,0,5320,0,192,8,3453,36,11,218,0,180,0,0,0,0,radiant
8565541219,2,1193187312,135,0,6,2,237,282,55,0,4605,0,360,9,4704,4,50,3,11,73,178,0,0,0,radiant
8565541219,3,429976003,8,3,6,3,356,352,76,6,6291,0,28,10,7066,63,166,34,11,20,244,0,0,0,radiant
8565541219,4,1249369201,27,0,6,5,159,148,8,1,3521,0,0,6,3156,180,218,188,0,34,0,0,0,0,radiant
8565541219,128,251946789,136,7,0,8,786,833,203,11,11827,5347,87,17,15602,164,143,50,149,116,36,0,0,0,dire
8565541219,129,409318058,50,2,3,10,327,366,25,0,5554,482,4670,11,6490,180,79,43,44,12,269,0,0,0,dire
8565541219,130,351841157,82,1,0,1,650,600,221,7,2695,8221,0,14,12902,20,20,14,1097,108,63,0,0,0,dire
8565541219,131,1823777137,48,12,2,5,835,619,197,12,13703,17236,0,14,16574,236,147,172,63,5,5,0,0,0,dire
8565541219,132,110965916,53,5,4,8,455,369,64,3,6968,1396,240,11,9031,63,98,92,1123,37,36,0,0,0,dire
8565538316,0,1305442393,20,3,2,22,303,357,14,7,9728,2208,750,11,6267,36,79,29,75,180,593,86,0,0,radiant
8565538316,1,182059885,14,7,1,9,368,380,33,4,5421,2328,0,11,7611,73,1,0,0,214,36,0,0,0,radiant
8565538316,2,876917740,135,10,0,10,574,498,132,6,7707,3592,1247,13,11872,127,36,73,50,178,108,44,0,0,radiant
8565538316,3,300521409,53,13,2,14,673,679,144,9,21594,11790,3425,16,13919,236,36,127,166,92,63,0,0,0,radiant
8565538316,4,416258678,102,4,1,10,576,500,143,13,8074,3267,0,13,11913,50,36,147,137,244,77,0,0,0,radiant
8565538316,128,1617954649,7,2,9,3,257,196,45,2,10773,0,0,8,5315,29,1,88,34,0,0,0,0,0,dire
8565538316,129,382893095,98,2,3,2,444,526,155,4,6239,0,0,13,9183,1,41,178,63,259,36,0,0,0,dire
8565538316,130,112876855,40,1,10,3,201,208,35,2,4149,0,0,8,4157,34,11,16,29,92,0,0,0,0,dire
8565538316,131,179182106,138,0,7,1,330,436,122,4,4112,0,0,12,6825,11,36,596,42,166,0,0,0,0,dire
8565538316,132,156969092,88,1,8,4,209,266,22,1,6437,0,0,9,4322,180,34,1122,11,188,473,0,0,0,dire
8565537402,0,,28,5,4,2,354,355,48,4,3670,933,0,10,6767,20,1,20,0,11,63,0,0,0,radiant
8565537402,1,,1,3,2,0,378,378,82,7,516,162,0,11,7226,75,75,170,36,63,11,0,0,0,radiant
8565537402,2,,85,3,2,6,347,385,50,1,5934,1060,0,11,6633,0,0,180,38,36,127,0,0,0,radiant
8565537402,3,164910569,18,0,0,2,514,565,171,2,694,3020,0,13,9825,11,50,26,4204,252,149,51,0,0,radiant
8565537402,4,,21,1,4,2,311,353,53,0,4752,2807,0,10,5945,29,240,34,75,166,0,0,0,0,radiant
8565537402,128,,123,2,1,5,331,242,26,1,4172,0,0,8,6327,0,0,0,0,0,0,0,0,0,dire
8565537402,129,,35,8,1,1,503,543,75,18,10313,0,0,13,9615,1107,75,21,0,149,29,216,0,0,dire
8565537402,130,,6,0,5,2,391,141,22,1,5551,23,0,6,7474,17,36,44,22,75,237,16,0,0,dire
8565537402,131,,65,1,3,1,191,120,14,0,3618,35,0,5,3651,29,36,77,0,0,0,0,0,0,dire
8565537402,132,,126,1,2,0,111,37,1,0,331,0,0,3,2121,0,0,0,0,0,0,0,0,0,dire
8565537313,0,,26,1,9,2,254,228,12,0,10020,0,0,9,6206,214,104,20,218,0,0,0,0,0,radiant
8565537313,1,,126,0,8,1,187,216,37,0,5388,0,0,9,4569,31,181,25,73,73,34,11,0,0,radiant
8565537313,2,,97,0,7,1,179,209,37,4,5244,0,0,9,4373,36,180,41,11,44,73,0,0,0,radiant
8565537313,3,,8,1,13,1,246,217,50,0,4896,0,500,9,6010,0,34,0,3,3,50,0,0,0,radiant
8565537313,4,,25,1,5,1,248,292,59,0,6928,76,0,11,6059,596,36,41,29,236,77,0,0,0,radiant
8565537313,128,,135,6,1,15,425,434,90,4,11485,1400,2564,13,10384,127,108,73,178,50,36,11,0,0,dire
8565537313,129,1834803348,52,12,1,12,569,627,140,13,16578,12227,216,16,13902,1,223,180,119,38,41,0,244,16,dire
8565537313,130,,137,0,3,15,249,292,28,1,9695,488,192,11,6083,244,11,39,178,23,50,16,16,0,dire
8565537313,131,,21,10,0,9,357,457,40,0,10838,2046,0,14,8722,36,75,41,73,166,0,0,0,0,dire
8565537313,132,,88,14,0,9,393,468,31,0,9526,351,0,14,9602,104,36,180,77,232,20,0,0,0,dire
8565533900,0,1264657652,59,3,4,8,487,498,113,5,10141,12280,0,15,12816,29,151,53,73,40,154,26,0,0,radiant
8565533900,1,341346719,114,14,1,14,680,664,157,15,26943,10033,0,17,17895,63,174,147,75,36,116,11,0,0,radiant
8565533900,2,36976675,58,5,3,15,345,441,13,3,13282,1914,9169,14,9079,77,269,63,236,244,40,0,0,0,radiant
8565533900,3,87723488,57,11,2,7,605,500,165,11,16963,2927,2810,15,15921,50,939,1,73,137,0,0,0,0,radiant
8565533900,4,1524591921,87,2,7,23,337,368,25,3,9371,239,192,13,8868,40,21,218,180,100,34,0,0,0,radiant
8565533900,128,923008720,21,9,6,2,425,646,98,7,26924,277,0,17,11184,63,77,77,166,116,41,0,0,0,dire
8565533900,129,1027253949,54,1,5,2,298,358,118,6,7381,0,225,12,7842,50,11,13,137,16,13,16,0,0,dire
8565533900,130,1866237342,102,0,10,4,172,212,7,1,6754,252,8490,9,4526,178,34,218,214,0,0,0,0,0,dire
8565533900,131,164752785,96,3,6,5,389,362,130,6,13014,421,0,13,10237,127,50,1,36,125,31,0,0,0,dire
8565533900,132,1880496708,30,4,10,8,263,257,19,3,17567,280,403,10,6921,254,218,180,0,0,0,0,0,0,dire
8565533316,0,83279702,28,13,1,4,832,1137,218,15,18155,4009,0,22,19954,65,108,250,36,1,63,0,0,0,radiant
8565533316,1,96581700,68,5,6,13,387,420,33,0,10516,395,0,13,9281,206,36,28,244,77,29,0,0,0,radiant
8565533316,2,105149843,38,7,4,10,665,658,183,6,13830,8438,0,17,15948,154,36,41,63,108,1,38,16,0,radiant
8565533316,3,64222442,12,8,1,5,660,779,208,5,10489,9222,0,18,15829,147,63,174,36,108,75,0,0,0,radiant
8565533316,4,454211326,37,1,0,12,321,601,37,2,5495,2568,9565,16,7698,232,180,218,1123,36,188,0,0,0,radiant
8565533316,128,226250877,69,1,5,2,378,378,112,14,5027,0,0,12,9065,21,73,65,50,36,8,265,0,0,dire
8565533316,129,859443958,86,0,13,5,258,295,44,3,9463,4,0,11,6187,259,180,36,43,0,77,0,0,0,dire
